Altium Designer Pick and Place Locations
C:\Users\justin.massiot\AppData\Local\Temp\Releases\Snapshot\9\Assembly 1\2024-11-11_DVID2_EVB_ASM_PickAndPlace_v-A1.csv

========================================================================================================================
File Design Information:

Date:       11/11/24
Time:       01:03
Revision:   Not in VersionControl
Variant:    1
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation","Variation"
"R418B","TopLayer","145.5000","46.0000","180","Fitted"
"R418A","TopLayer","70.5000","46.0000","180","Fitted"
"R417B","TopLayer","86.5000","61.7500","180","Fitted"
"R417A","TopLayer","11.5000","61.7500","180","Fitted"
"R416B","TopLayer","85.5000","60.2500","180","Fitted"
"R416A","TopLayer","10.5000","60.2500","180","Fitted"
"R415B","TopLayer","90.5000","67.5000","90","Fitted"
"R415A","TopLayer","15.5000","67.5000","90","Fitted"
"R414B","TopLayer","128.7500","67.5000","90","Fitted"
"R414A","TopLayer","53.7500","67.5000","90","Fitted"
"R413B","TopLayer","88.0000","67.5000","90","Fitted"
"R413A","TopLayer","13.0000","67.5000","90","Fitted"
"R412B","TopLayer","126.2500","67.5000","90","Fitted"
"R412A","TopLayer","51.2500","67.5000","90","Fitted"
"R411B","TopLayer","87.5000","50.2500","90","Fitted"
"R411A","TopLayer","12.5000","50.2500","90","Fitted"
"R410B","TopLayer","84.5000","50.2500","90","Fitted"
"R410A","TopLayer","9.5000","50.2500","90","Fitted"
"R409B","TopLayer","86.0000","50.2500","90","Fitted"
"R409A","TopLayer","11.0000","50.2500","90","Fitted"
"R408B","TopLayer","116.2500","59.5000","90","Fitted"
"R408A","TopLayer","41.2500","59.5000","90","Fitted"
"R407B","TopLayer","113.7500","59.5000","90","Fitted"
"R407A","TopLayer","38.7500","59.5000","90","Fitted"
"R406B","TopLayer","136.0000","52.2500","0","Fitted"
"R406A","TopLayer","61.0000","52.2500","0","Fitted"
"R405B","TopLayer","138.2500","54.7500","270","Fitted"
"R405A","TopLayer","63.2500","54.7501","270","Fitted"
"R404B","TopLayer","136.0000","49.2500","0","Fitted"
"R404A","TopLayer","61.0000","49.2500","0","Fitted"
"R403B","TopLayer","136.0000","50.7500","0","Fitted"
"R403A","TopLayer","61.0000","50.7500","0","Fitted"
"R402B","TopLayer","139.7500","54.7500","270","Fitted"
"R402A","TopLayer","64.7500","54.7501","270","Fitted"
"R401B","TopLayer","98.5000","89.0000","90","Not Fitted"
"R401A","TopLayer","23.5001","89.0000","90","Not Fitted"
"R315A","TopLayer","50.5000","19.2500","180","Fitted"
"R314B","TopLayer","114.2500","15.2500","90","Fitted"
"R314A","TopLayer","30.2500","18.7500","180","Fitted"
"R313B","TopLayer","111.0000","18.7500","90","Fitted"
"R313A","TopLayer","31.2500","38.0000","90","Fitted"
"R312B","TopLayer","112.9500","38.5000","0","Fitted"
"R312A","TopLayer","43.5000","29.0000","90","Fitted"
"R311B","TopLayer","115.8500","38.5000","0","Fitted"
"R311A","TopLayer","30.2500","20.2500","180","Fitted"
"R310B","TopLayer","105.2500","22.0000","270","Fitted"
"R310A","TopLayer","30.2500","22.2500","180","Fitted"
"R309B","TopLayer","110.0000","37.7500","90","Fitted"
"R309A","TopLayer","45.2500","18.0000","270","Fitted"
"R308B","TopLayer","123.0000","27.2500","0","Fitted"
"R308A","TopLayer","26.0000","23.7500","90","Fitted"
"R307B","TopLayer","105.0000","26.5000","225","Fitted"
"R307A","TopLayer","25.2500","21.5000","0","Fitted"
"R306B","TopLayer","101.0000","23.7500","90","Fitted"
"R306A","TopLayer","24.5444","39.0445","45","Fitted"
"R305B","TopLayer","123.0000","28.7500","180","Fitted"
"R305A","TopLayer","34.0000","31.0000","90","Fitted"
"R304B","TopLayer","103.2500","27.2500","45","Fitted"
"R304A","TopLayer","25.0000","37.5000","225","Fitted"
"R303B","TopLayer","100.2500","21.5000","0","Fitted"
"R303A","TopLayer","35.5000","31.0000","270","Fitted"
"R302B","TopLayer","94.0000","26.7500","0","Fitted"
"R302A","TopLayer","19.0000","26.7500","0","Fitted"
"R301B","TopLayer","117.0000","44.2500","90","Fitted"
"R301A","TopLayer","30.5000","34.7500","90","Not Fitted"
"R217B","TopLayer","130.2500","15.7500","0","Fitted"
"R217A","TopLayer","55.2500","15.7499","0","Fitted"
"R216B","TopLayer","136.2500","12.5000","90","Fitted"
"R216A","TopLayer","61.2500","12.5000","90","Fitted"
"R215B","TopLayer","137.5000","6.5000","180","Fitted"
"R215A","TopLayer","62.5000","6.5000","180","Fitted"
"R214B","TopLayer","134.5000","6.5000","0","Fitted"
"R214A","TopLayer","59.5000","6.5000","0","Fitted"
"R213B","TopLayer","85.7500","24.2500","90","Fitted"
"R213A","TopLayer","10.7500","24.2500","90","Fitted"
"R212B","TopLayer","127.2500","12.5000","0","Fitted"
"R212A","TopLayer","52.2500","12.5000","0","Fitted"
"R211B","TopLayer","84.2500","24.2500","90","Fitted"
"R211A","TopLayer","9.2500","24.2500","90","Fitted"
"R210B","TopLayer","81.7500","24.2500","270","Fitted"
"R210A","TopLayer","6.7500","24.2499","270","Fitted"
"R209B","TopLayer","78.5000","19.7000","270","Fitted"
"R209A","TopLayer","3.5000","19.6999","270","Fitted"
"R208B","TopLayer","128.5000","3.0000","0","Fitted"
"R208A","TopLayer","53.5000","3.0000","0","Fitted"
"R207B","TopLayer","131.5000","3.0000","0","Fitted"
"R207A","TopLayer","56.5000","3.0000","0","Fitted"
"R206B","TopLayer","87.7500","16.5000","90","Fitted"
"R206A","TopLayer","12.7500","16.4999","90","Fitted"
"R205B","TopLayer","145.0000","20.5000","180","Fitted"
"R205A","TopLayer","70.0000","20.5000","180","Fitted"
"R204B","TopLayer","147.2500","19.7500","270","Fitted"
"R204A","TopLayer","72.2499","19.7500","270","Fitted"
"R203B","TopLayer","142.0000","13.5000","90","Fitted"
"R203A","TopLayer","67.0000","13.5000","90","Fitted"
"R202B","TopLayer","78.5000","16.3000","270","Fitted"
"R202A","TopLayer","3.5000","16.3000","270","Fitted"
"R201B","TopLayer","105.0000","4.0000","0","Fitted"
"R201A","TopLayer","30.0000","4.0000","0","Fitted"
"R117B","TopLayer","147.0000","31.7500","0","Fitted"
"R117A","TopLayer","72.0000","31.7500","0","Fitted"
"R116B","TopLayer","83.7500","40.7500","270","Fitted"
"R116A","TopLayer","8.7500","40.7500","270","Fitted"
"R115B","TopLayer","145.7500","58.5000","90","Fitted"
"R115A","TopLayer","70.7500","58.5000","90","Fitted"
"R114B","TopLayer","136.2500","32.5000","225","Fitted"
"R114A","TopLayer","61.2500","32.5000","225","Fitted"
"R113B","TopLayer","138.7500","32.5000","225","Fitted"
"R113A","TopLayer","63.7500","32.5000","225","Fitted"
"R112B","TopLayer","141.2500","32.5000","225","Fitted"
"R112A","TopLayer","66.2500","32.5000","225","Fitted"
"R111B","TopLayer","143.7500","32.5000","225","Fitted"
"R111A","TopLayer","68.7500","32.5000","225","Fitted"
"R110B","TopLayer","89.5000","37.0000","0","Fitted"
"R110A","TopLayer","14.5000","37.0000","0","Fitted"
"R109B","TopLayer","89.5000","39.5000","0","Fitted"
"R109A","TopLayer","14.5000","39.5000","0","Fitted"
"R108B","TopLayer","140.0000","62.0000","180","Fitted"
"R108A","TopLayer","64.9800","58.7500","180","Fitted"
"R107B","TopLayer","140.0000","59.7500","180","Fitted"
"R107A","TopLayer","65.0000","61.0000","180","Fitted"
"R106B","TopLayer","87.0000","30.8500","270","Fitted"
"R106A","TopLayer","12.0000","30.8500","270","Fitted"
"R105B","TopLayer","85.5000","30.8500","90","Fitted"
"R105A","TopLayer","10.5000","30.8500","90","Fitted"
"R104B","TopLayer","118.0000","19.8500","270","Alternate"
"R104A","TopLayer","34.5000","34.7500","90","Alternate"
"R103B","TopLayer","84.0000","30.8500","90","Fitted"
"R103A","TopLayer","9.0000","30.8500","90","Fitted"
"R102B","TopLayer","116.5000","19.8500","90","Alternate"
"R102A","TopLayer","36.0000","34.7500","270","Alternate"
"R101B","TopLayer","96.0000","3.7500","270","Fitted"
"R101A","TopLayer","21.0000","3.7500","270","Fitted"
"Q203B","TopLayer","133.7500","12.5000","90","Fitted"
"Q203A","TopLayer","58.7500","12.5000","90","Fitted"
"Q202B","TopLayer","137.5000","9.0000","0","Fitted"
"Q202A","TopLayer","62.5001","9.0000","0","Fitted"
"Q201B","TopLayer","106.7500","6.7500","0","Fitted"
"Q201A","TopLayer","31.7500","6.7500","0","Fitted"
"LED401B","TopLayer","124.2500","82.7500","90","Fitted"
"LED401A","TopLayer","49.2500","82.7500","90","Fitted"
"LED302B","TopLayer","103.7500","22.0000","90","Fitted"
"LED302A","TopLayer","47.5000","19.2500","180","Fitted"
"LED301B","TopLayer","97.0000","26.7500","0","Fitted"
"LED301A","TopLayer","22.0000","26.7500","0","Fitted"
"LED203B","TopLayer","130.2500","12.5000","0","Fitted"
"LED203A","TopLayer","55.2500","12.5000","0","Fitted"
"LED202B","TopLayer","87.7500","19.5000","90","Fitted"
"LED202A","TopLayer","12.7500","19.4999","90","Fitted"
"LED201B","TopLayer","142.0000","16.5000","90","Fitted"
"LED201A","TopLayer","67.0000","16.5000","90","Fitted"
"LED104B","TopLayer","145.7500","61.5000","90","Fitted"
"LED104A","TopLayer","70.7500","61.5000","90","Fitted"
"LED103B","TopLayer","83.7500","37.7500","270","Fitted"
"LED103A","TopLayer","8.7500","37.7500","270","Fitted"
"LED102B","TopLayer","147.0000","33.2500","180","Fitted"
"LED102A","TopLayer","72.0000","33.2500","180","Fitted"
"LED101B","TopLayer","96.0000","6.7500","90","Fitted"
"LED101A","TopLayer","21.0000","6.7500","90","Fitted"
"L201B","TopLayer","128.7500","9.0000","0","Fitted"
"L201A","TopLayer","53.7500","9.0000","0","Fitted"
"J402B","TopLayer","132.7700","59.7100","270","Fitted"
"J402A","TopLayer","57.7700","59.7100","270","Fitted"
"J301B","TopLayer","112.5000","43.0050","180","Fitted"
"J201B","TopLayer","83.0000","17.9950","0","Fitted"
"J201A","TopLayer","8.0000","17.9950","0","Fitted"
"J104B","TopLayer","140.6500","35.7500","180","Fitted"
"J104A","TopLayer","65.6500","35.7500","180","Fitted"
"J103B","TopLayer","86.2500","39.4600","270","Fitted"
"J103A","TopLayer","11.2500","39.4600","270","Fitted"
"J102B","TopLayer","143.2500","59.7900","90","Fitted"
"J102A","TopLayer","68.2500","59.7900","90","Fitted"
"J101B","TopLayer","98.7500","5.2700","90","Fitted"
"J101A","TopLayer","23.7500","5.2700","90","Fitted"
"FB301A","TopLayer","37.5000","32.5000","270","Fitted"
"F201B","TopLayer","111.0000","6.7500","0","Fitted"
"F201A","TopLayer","36.0000","6.7500","0","Fitted"
"D401B","TopLayer","145.2500","44.0000","0","Fitted"
"D401A","TopLayer","70.2500","44.0000","0","Fitted"
"D301B","TopLayer","111.0000","15.5000","90","Fitted"
"D301A","TopLayer","32.2500","34.7500","270","Fitted"
"D202B","TopLayer","127.5000","15.7500","180","Fitted"
"D202A","TopLayer","52.5000","15.7500","180","Fitted"
"D201B","TopLayer","115.2500","4.5000","270","Fitted"
"D201A","TopLayer","40.2500","4.5000","270","Fitted"
"C407B","TopLayer","101.5000","92.0000","270","Fitted"
"C407A","TopLayer","26.5000","92.0000","270","Fitted"
"C406B","TopLayer","92.0000","90.5000","90","Fitted"
"C406A","TopLayer","17.0001","90.5000","90","Fitted"
"C405B","TopLayer","120.5000","73.0000","0","Fitted"
"C405A","TopLayer","45.5000","73.0000","0","Fitted"
"C404B","TopLayer","98.5000","92.0000","270","Fitted"
"C404A","TopLayer","23.5000","92.0000","270","Fitted"
"C403B","TopLayer","142.5000","54.0000","0","Fitted"
"C403A","TopLayer","67.5000","54.0000","0","Fitted"
"C402B","TopLayer","90.5000","55.7500","90","Fitted"
"C402A","TopLayer","15.5001","55.7500","90","Fitted"
"C401B","TopLayer","142.5000","46.0000","0","Fitted"
"C401A","TopLayer","67.5000","46.0000","0","Fitted"
"C318A","TopLayer","45.2500","22.2500","0","Fitted"
"C317A","TopLayer","45.2500","26.7500","180","Fitted"
"C316A","TopLayer","27.2500","18.7500","180","Fitted"
"C315A","TopLayer","42.7500","31.2500","180","Fitted"
"C314A","TopLayer","42.0000","29.0000","90","Fitted"
"C313A","TopLayer","48.2500","30.5000","90","Fitted"
"C312A","TopLayer","40.5000","29.7500","90","Fitted"
"C311A","TopLayer","41.5000","25.7500","0","Fitted"
"C310A","TopLayer","41.0000","19.2500","0","Fitted"
"C309A","TopLayer","30.2500","24.2500","180","Fitted"
"C308B","TopLayer","113.5000","17.5000","0","Fitted"
"C308A","TopLayer","38.2500","28.7500","0","Fitted"
"C307B","TopLayer","106.7500","22.0000","90","Fitted"
"C307A","TopLayer","43.0000","23.0000","270","Fitted"
"C306B","TopLayer","109.2500","31.0000","0","Fitted"
"C306A","TopLayer","38.2500","30.2500","0","Fitted"
"C305B","TopLayer","113.5000","19.0000","180","Fitted"
"C305A","TopLayer","25.2500","26.0000","0","Fitted"
"C304B","TopLayer","118.2500","28.5000","270","Fitted"
"C304A","TopLayer","46.5000","30.5000","90","Fitted"
"C303B","TopLayer","106.0000","19.0000","315","Fitted"
"C303A","TopLayer","38.2500","34.7500","0","Fitted"
"C302B","TopLayer","108.7500","19.5000","180","Fitted"
"C302A","TopLayer","40.2500","11.0000","0","Fitted"
"C301B","TopLayer","100.2500","26.0000","0","Fitted"
"C301A","TopLayer","50.2500","30.5000","90","Fitted"
"C204B","TopLayer","142.7500","19.7500","90","Fitted"
"C204A","TopLayer","67.7500","19.7500","90","Fitted"
"C203B","TopLayer","130.0000","5.0000","180","Fitted"
"C203A","TopLayer","55.0000","5.0000","180","Fitted"
"C202B","TopLayer","131.5000","1.5000","180","Fitted"
"C202A","TopLayer","56.5000","1.5000","180","Fitted"
"C201B","TopLayer","122.0000","4.7500","270","Fitted"
"C201A","TopLayer","47.0000","4.7500","270","Fitted"
